2019-05-30 17:37:28.177125: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-05-30 17:37:28.204130: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3000000000 Hz
2019-05-30 17:37:28.204333: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x55ec1336d430 executing computations on platform Host. Devices:
2019-05-30 17:37:28.204348: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
WARNING:tensorflow:From /home/ckg/cartpole_impala/impala.py:37: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/ckg/cartpole_impala/core.py:15: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
thread_3 33 52.0 0.5332321432920603
thread_1 26 24.0 0.5607750887672106
thread_0 39 15.0 0.554633359114329
thread_1 27 12.0 0.590083916982015
thread_1 28 12.0 0.5633998612562815
thread_2 26 69.0 0.5434884869534037
thread_0 40 24.0 0.5533922637502352
thread_1 29 15.0 0.5550158301989238
thread_0 41 11.0 0.5820413665337996
thread_3 34 46.0 0.5365362089613209
thread_1 30 11.0 0.5762750831517306
thread_2 27 25.0 0.5491177535057068
thread_0 42 11.0 0.5677725889466025
thread_3 35 11.0 0.572581020268527
thread_0 43 21.0 0.5458239572388786
thread_1 31 24.0 0.5536568264166514
thread_1 32 13.0 0.5921496107028081
thread_3 36 41.0 0.5366810095019456
thread_1 33 25.0 0.5515297269821167
thread_0 44 36.0 0.5498099939690696
thread_2 28 68.0 0.533855041160303
thread_3 37 38.0 0.5326575197671589
thread_2 29 18.0 0.5723697576257918
thread_1 34 16.0 0.5642059743404388
thread_0 45 21.0 0.5655418606031508
thread_3 38 21.0 0.5572098919323513
thread_1 35 22.0 0.5582938654856249
thread_3 39 14.0 0.5733546614646912
thread_1 36 15.0 0.5730186621348063
thread_0 46 29.0 0.5725865466841336
thread_3 40 29.0 0.5644948893579943
thread_2 30 54.0 0.5486063405319497
thread_0 47 22.0 0.569389364936135
thread_2 31 15.0 0.5805030425389608
thread_1 37 41.0 0.5556792224325785
thread_0 48 15.0 0.581091562906901
thread_3 41 35.0 0.5655419554029192
thread_0 49 13.0 0.5991609279926007
thread_3 42 10.0 0.6130263268947601
thread_1 38 22.0 0.5769011269916188
thread_2 32 38.0 0.5558449359316575
thread_1 39 23.0 0.5725952723751897
thread_3 43 28.0 0.5629985630512238
thread_2 33 26.0 0.5815359629117526
thread_1 40 29.0 0.5502888231441893
thread_3 44 27.0 0.5778790579901801
thread_2 34 28.0 0.5653970582144601
thread_1 41 22.0 0.5700301446697928
thread_1 42 13.0 0.6132754316696754
thread_0 50 81.0 0.5554717249340482
thread_3 45 31.0 0.5480582214170887
